"ACCIDENT_NO","SURFACE_COND","Surface Cond Desc","SURFACE_COND_SEQ"
"32001007819 ","1","Dry","1"
"32001007820 ","1","Dry","1"
"32001007823 ","1","Dry","1"
"32001007826 ","1","Dry","1"
"32001007829 ","1","Dry","1"
"32001007837 ","1","Dry","1"
"32001007839 ","1","Dry","1"
"32001007845 ","1","Dry","1"
"32001007901 ","1","Dry","1"
"32001007921 ","1","Dry","1"
"32001007924 ","1","Dry","1"
"32001007934 ","1","Dry","1"
"32001007943 ","1","Dry","1"
"32001007958 ","1","Dry","1"
"32001008009 ","1","Dry","1"
"32001008011 ","1","Dry","1"
"32001008012 ","1","Dry","1"
"32001008021 ","1","Dry","1"
"32001008024 ","1","Dry","1"
"32001008029 ","1","Dry","1"
"32001008032 ","1","Dry","1"
"32001008046 ","1","Dry","1"
"32001008047 ","1","Dry","1"
"32001008051 ","9","Unknown","1"
"32001008062 ","1","Dry","1"
"32001008070 ","1","Dry","1"
"32001008072 ","1","Dry","1"
"32001008073 ","1","Dry","1"
"32001008094 ","1","Dry","1"
"32001008104 ","1","Dry","1"
"32001008108 ","1","Dry","1"
"32001008109 ","1","Dry","1"
"32001008111 ","1","Dry","1"
"32001008121 ","1","Dry","1"
"32001008122 ","1","Dry","1"
"32001008126 ","1","Dry","1"
"32001008131 ","1","Dry","1"
"32001008136 ","1","Dry","1"
"32001008137 ","1","Dry","1"
"32001008139 ","1","Dry","1"
"32001008152 ","1","Dry","1"
"32001008157 ","1","Dry","1"
"32001008172 ","1","Dry","1"
"32001008186 ","1","Dry","1"
"32001008191 ","1","Dry","1"
"32001008201 ","2","Wet","1"
"32001008206 ","1","Dry","1"
"32001008317 ","1","Dry","1"
"32001008327 ","1","Dry","1"
"32001008340 ","1","Dry","1"
"32001008344 ","1","Dry","1"
"32001008347 ","1","Dry","1"
"32001008354 ","1","Dry","1"
"32001008366 ","2","Wet","1"
"32001008389 ","1","Dry","1"
"32001008394 ","1","Dry","1"
"32001008405 ","1","Dry","1"
"32001008410 ","1","Dry","1"
"32001008414 ","1","Dry","1"
"32001008418 ","1","Dry","1"
"32001008421 ","1","Dry","1"
"32001008454 ","1","Dry","1"
"32001008496 ","1","Dry","1"
"32001008500 ","1","Dry","1"
"32001008504 ","1","Dry","1"
"32001008505 ","1","Dry","1"
"32001008517 ","1","Dry","1"
"32001008525 ","1","Dry","1"
"32001008534 ","1","Dry","1"
"32001008543 ","1","Dry","1"
"32001008554 ","1","Dry","1"
"32001008630 ","1","Dry","1"
"32001008632 ","1","Dry","1"
"32001008639 ","1","Dry","1"
"32001008653 ","1","Dry","1"
"32001008677 ","1","Dry","1"
"32001008679 ","1","Dry","1"
"32001008680 ","1","Dry","1"
"32001008727 ","1","Dry","1"
"32001008875 ","1","Dry","1"
"32001008887 ","1","Dry","1"
"32001008892 ","1","Dry","1"
"32001008901 ","1","Dry","1"
"32001008912 ","1","Dry","1"
"32001008918 ","1","Dry","1"
"32001008921 ","1","Dry","1"
"32001008922 ","1","Dry","1"
"32001008924 ","1","Dry","1"
"32001008926 ","1","Dry","1"
"32001008930 ","1","Dry","1"
"32001008945 ","1","Dry","1"
"32001008951 ","1","Dry","1"
"32001008954 ","1","Dry","1"
"32001008962 ","1","Dry","1"
"32001008964 ","1","Dry","1"
"32001008966 ","1","Dry","1"
"32001008974 ","1","Dry","1"
"32001008980 ","1","Dry","1"
"32001009014 ","1","Dry","1"
"32001009091 ","1","Dry","1"
"32001009092 ","1","Dry","1"
"32001009125 ","1","Dry","1"
"32001009137 ","2","Wet","1"
"32001009140 ","1","Dry","1"
"32001009146 ","2","Wet","1"
"32001009162 ","1","Dry","1"
"32001009163 ","2","Wet","1"
"32001009176 ","2","Wet","1"
"32001009185 ","1","Dry","1"
"32001009191 ","1","Dry","1"
"32001009192 ","1","Dry","1"
"32001009195 ","1","Dry","1"
"32001009206 ","1","Dry","1"
"32001009223 ","1","Dry","1"
"32001009234 ","1","Dry","1"
"32001009245 ","1","Dry","1"
"32001009254 ","1","Dry","1"
"32001009275 ","1","Dry","1"
"32001009281 ","2","Wet","1"
"32001009341 ","9","Unknown","1"
"32001009374 ","1","Dry","1"
"32001009388 ","2","Wet","1"
"32001009389 ","1","Dry","1"
"32001009393 ","1","Dry","1"
"32001009398 ","1","Dry","1"
"32001009410 ","1","Dry","1"
"32001009416 ","1","Dry","1"
"32001009481 ","1","Dry","1"
"32001009484 ","1","Dry","1"
"32001009485 ","1","Dry","1"
"32001009486 ","1","Dry","1"
"32001009488 ","1","Dry","1"
"32001009489 ","1","Dry","1"
"32001009492 ","1","Dry","1"
"32001009494 ","1","Dry","1"
"32001009503 ","1","Dry","1"
"32001009555 ","2","Wet","1"
"32001009563 ","1","Dry","1"
"32001009569 ","1","Dry","1"
"32001009570 ","1","Dry","1"
"32001009575 ","1","Dry","1"
"32001009577 ","1","Dry","1"
"32001009579 ","1","Dry","1"
"32001009598 ","1","Dry","1"
"32001009602 ","1","Dry","1"
"32001009615 ","1","Dry","1"
"32001009617 ","1","Dry","1"
"32001009627 ","1","Dry","1"
"32001009653 ","1","Dry","1"
"32001009668 ","3","Muddy","1"
"32001009679 ","1","Dry","1"
"32001009751 ","1","Dry","1"
"32001009811 ","1","Dry","1"
"32001009812 ","2","Wet","1"
"32001009813 ","1","Dry","1"
"32001009821 ","2","Wet","1"
"32001009829 ","1","Dry","1"
"32001009838 ","2","Wet","1"
"32001009850 ","1","Dry","1"
"32001009855 ","1","Dry","1"
"32001009856 ","2","Wet","1"
"32001009859 ","1","Dry","1"
"32001009870 ","2","Wet","1"
"32001009876 ","2","Wet","1"
"32001009972 ","9","Unknown","1"
"32001009975 ","1","Dry","1"
"32001010017 ","1","Dry","1"
"32001010020 ","3","Muddy","1"
"32001010029 ","1","Dry","1"
"32001010036 ","1","Dry","1"
"32001010100 ","1","Dry","1"
"32001010116 ","1","Dry","1"
"32001010182 ","1","Dry","1"
"32001010184 ","1","Dry","1"
"32001010207 ","1","Dry","1"
"32001010215 ","1","Dry","1"
"32001010225 ","2","Wet","1"
"32001010234 ","2","Wet","1"
"32001010244 ","1","Dry","1"
"32001010247 ","1","Dry","1"
"32001010248 ","1","Dry","1"
"32001010251 ","1","Dry","1"
"32001010257 ","1","Dry","1"
"32001010274 ","1","Dry","1"
"32001010315 ","1","Dry","1"
"32001010317 ","1","Dry","1"
"32001010335 ","1","Dry","1"
"32001010336 ","1","Dry","1"
"32001010348 ","1","Dry","1"
"32001010357 ","2","Wet","1"
"32001010370 ","1","Dry","1"
"32001010469 ","1","Dry","1"
"32001010474 ","1","Dry","1"
"32001010477 ","1","Dry","1"
"32001010484 ","2","Wet","1"
"32001010487 ","1","Dry","1"
"32001010500 ","1","Dry","1"
"32001010503 ","2","Wet","1"
"32001010507 ","1","Dry","1"
"32001010511 ","1","Dry","1"
"32001010516 ","1","Dry","1"
"32001010520 ","2","Wet","1"
"32001010524 ","1","Dry","1"
"32001010525 ","1","Dry","1"
"32001010527 ","2","Wet","1"
"32001010530 ","1","Dry","1"
"32001010544 ","1","Dry","1"
"32001010545 ","1","Dry","1"
"32001010549 ","1","Dry","1"
"32001010551 ","1","Dry","1"
"32001010563 ","2","Wet","1"
"32001010568 ","2","Wet","1"
"32001010570 ","1","Dry","1"
"32001010670 ","1","Dry","1"
"32001010689 ","1","Dry","1"
"32001010705 ","1","Dry","1"
"32001010710 ","1","Dry","1"
"32001010741 ","2","Wet","1"
"32001010749 ","1","Dry","1"
"32001010759 ","1","Dry","1"
"32001010763 ","1","Dry","1"
"32001010770 ","1","Dry","1"
"32001010773 ","1","Dry","1"
"32001010775 ","1","Dry","1"
"32001010789 ","2","Wet","1"
"32001010826 ","1","Dry","1"
"32001010831 ","2","Wet","1"
"32001010848 ","1","Dry","1"
"32001010864 ","2","Wet","1"
"32001010955 ","9","Unknown","1"
"32001010959 ","1","Dry","1"
"32001010992 ","1","Dry","1"
"32001010999 ","1","Dry","1"
"32001011001 ","1","Dry","1"
"32001011004 ","1","Dry","1"
"32001011008 ","1","Dry","1"
"32001011010 ","2","Wet","1"
"32001011028 ","1","Dry","1"
"32001011030 ","1","Dry","1"
"32001011032 ","1","Dry","1"
"32001011043 ","1","Dry","1"
"32001011045 ","1","Dry","1"
"32001011070 ","2","Wet","1"
"32001011074 ","1","Dry","1"
"32001011191 ","2","Wet","1"
"32001011236 ","1","Dry","1"
"32001011275 ","1","Dry","1"
"32001011276 ","1","Dry","1"
"32001011280 ","1","Dry","1"
"32001011283 ","1","Dry","1"
"32001011289 ","1","Dry","1"
"32001011293 ","1","Dry","1"
"32001011300 ","1","Dry","1"
"32001011308 ","1","Dry","1"
"32001011311 ","1","Dry","1"
"32001011316 ","1","Dry","1"
"32001011322 ","1","Dry","1"
"32001011358 ","1","Dry","1"
"32001011417 ","1","Dry","1"
"32001011447 ","1","Dry","1"
"32001011453 ","1","Dry","1"
"32001011455 ","1","Dry","1"
"32001011456 ","2","Wet","1"
"32001011476 ","1","Dry","1"
"32001011512 ","1","Dry","1"
"32001011536 ","1","Dry","1"
"32001011566 ","1","Dry","1"
"32001011568 ","1","Dry","1"
"32001011574 ","1","Dry","1"
"32001011580 ","1","Dry","1"
"32001011581 ","1","Dry","1"
"32001011586 ","1","Dry","1"
"32001011601 ","1","Dry","1"
"32001011605 ","1","Dry","1"
"32001011608 ","2","Wet","1"
"32001011611 ","1","Dry","1"
"32001011612 ","1","Dry","1"
"32001011613 ","1","Dry","1"
"32001011617 ","1","Dry","1"
"32001011620 ","1","Dry","1"
"32001011625 ","1","Dry","1"
"32001011628 ","1","Dry","1"
"32001011636 ","1","Dry","1"
"32001011639 ","1","Dry","1"
"32001011642 ","1","Dry","1"
"32001011645 ","1","Dry","1"
"32001011656 ","1","Dry","1"
"32001011662 ","1","Dry","1"
"32001011713 ","1","Dry","1"
"32001011718 ","1","Dry","1"
"32001011727 ","1","Dry","1"
"32001011729 ","1","Dry","1"
"32001011730 ","1","Dry","1"
"32001011735 ","1","Dry","1"
"32001011774 ","1","Dry","1"
"32001011777 ","1","Dry","1"
"32001011778 ","1","Dry","1"
"32001011779 ","1","Dry","1"
"32001011787 ","1","Dry","1"
"32001011789 ","1","Dry","1"
"32001011792 ","1","Dry","1"
"32001011797 ","1","Dry","1"
"32001011799 ","1","Dry","1"
